"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.38040000.31290000","3804.3129.4","1kmN3129E3804",4000,1000000,18,8,10
"4.0.38040000.31300000","3804.3130.4","1kmN3130E3804",4000,1000000,10,5,5
"4.0.38040000.31310000","3804.3131.4","1kmN3131E3804",4000,1000000,10,3,7
"4.0.38040000.31320000","3804.3132.4","1kmN3132E3804",4000,1000000,14,5,9
"4.0.38040000.31330000","3804.3133.4","1kmN3133E3804",4000,1000000,9,5,4
"4.0.38040000.31340000","3804.3134.4","1kmN3134E3804",4000,1000000,6,3,3
"4.0.38040000.31350000","3804.3135.4","1kmN3135E3804",4000,1000000,931,483,448
"4.0.38040000.31360000","3804.3136.4","1kmN3136E3804",4000,1000000,1366,746,620
"4.0.38040000.31370000","3804.3137.4","1kmN3137E3804","3747,55643787","889238,025346",895,451,444
"4.0.38040000.31380000","3804.3138.4","1kmN3138E3804","841,844261564","25496,7979165",0,0,0
"4.0.38050000.31030000","3805.3103.4","1kmN3103E3805","3428,1590814","370704,926058",0,0,0
"4.0.38050000.31040000","3805.3104.4","1kmN3104E3805","4017,05036878","999574,181776",309,147,162
"4.0.38050000.31050000","3805.3105.4","1kmN3105E3805",4000,1000000,72,34,38
"4.0.38050000.31060000","3805.3106.4","1kmN3106E3805",4000,1000000,27,13,14
"4.0.38050000.31070000","3805.3107.4","1kmN3107E3805",4000,1000000,42,21,21
"4.0.38050000.31080000","3805.3108.4","1kmN3108E3805",4000,1000000,93,47,46
"4.0.38050000.31090000","3805.3109.4","1kmN3109E3805",4000,1000000,106,49,57
"4.0.38050000.31100000","3805.3110.4","1kmN3110E3805",4000,1000000,8,4,4
"4.0.38050000.31110000","3805.3111.4","1kmN3111E3805",4000,1000000,71,33,38
"4.0.38050000.31120000","3805.3112.4","1kmN3112E3805",4000,1000000,744,381,363
"4.0.38050000.31130000","3805.3113.4","1kmN3113E3805",4000,1000000,49,24,25
"4.0.38050000.31140000","3805.3114.4","1kmN3114E3805",4000,1000000,25,12,13
"4.0.38050000.31150000","3805.3115.4","1kmN3115E3805",4000,1000000,26,10,16
"4.0.38050000.31160000","3805.3116.4","1kmN3116E3805",4000,1000000,20,8,12
"4.0.38050000.31170000","3805.3117.4","1kmN3117E3805",4000,1000000,19,9,10
"4.0.38050000.31180000","3805.3118.4","1kmN3118E3805",4000,1000000,18,8,10
"4.0.38050000.31190000","3805.3119.4","1kmN3119E3805",4000,1000000,18,6,12
"4.0.38050000.31200000","3805.3120.4","1kmN3120E3805",4000,1000000,14,7,7
"4.0.38050000.31210000","3805.3121.4","1kmN3121E3805",4000,1000000,18,8,10
"4.0.38050000.31220000","3805.3122.4","1kmN3122E3805",4000,1000000,20,6,14
"4.0.38050000.31230000","3805.3123.4","1kmN3123E3805",4000,1000000,42,19,23
"4.0.38050000.31240000","3805.3124.4","1kmN3124E3805",4000,1000000,24,10,14
"4.0.38050000.31250000","3805.3125.4","1kmN3125E3805",4000,1000000,19,11,8
"4.0.38050000.31260000","3805.3126.4","1kmN3126E3805",4000,1000000,43,21,22
"4.0.38050000.31270000","3805.3127.4","1kmN3127E3805",4000,1000000,70,24,46
"4.0.38050000.31280000","3805.3128.4","1kmN3128E3805",4000,1000000,26,13,13
"4.0.38050000.31290000","3805.3129.4","1kmN3129E3805",4000,1000000,5,2,3
"4.0.38050000.31300000","3805.3130.4","1kmN3130E3805",4000,1000000,2,0,2
"4.0.38050000.31310000","3805.3131.4","1kmN3131E3805",4000,1000000,15,6,9
"4.0.38050000.31320000","3805.3132.4","1kmN3132E3805",4000,1000000,10,5,5
"4.0.38050000.31330000","3805.3133.4","1kmN3133E3805",4000,1000000,31,15,16
"4.0.38050000.31340000","3805.3134.4","1kmN3134E3805",4000,1000000,12,6,6
"4.0.38050000.31350000","3805.3135.4","1kmN3135E3805",4000,1000000,437,214,223
"4.0.38050000.31360000","3805.3136.4","1kmN3136E3805",4000,1000000,783,394,389
"4.0.38050000.31370000","3805.3137.4","1kmN3137E3805",4000,1000000,1546,789,757
"4.0.38050000.31380000","3805.3138.4","1kmN3138E3805","2911,17159738","399852,999999",9,5,4
"4.0.38060000.31030000","3806.3103.4","1kmN3103E3806","3487,96585514","757649,332522",33,14,19
"4.0.38060000.31040000","3806.3104.4","1kmN3104E3806",4000,1000000,31,18,13
"4.0.38060000.31050000","3806.3105.4","1kmN3105E3806",4000,1000000,82,40,42
"4.0.38060000.31060000","3806.3106.4","1kmN3106E3806",4000,1000000,38,15,23
"4.0.38060000.31070000","3806.3107.4","1kmN3107E3806",4000,1000000,49,28,21
"4.0.38060000.31080000","3806.3108.4","1kmN3108E3806",4000,1000000,52,27,25
"4.0.38060000.31090000","3806.3109.4","1kmN3109E3806",4000,1000000,16,10,6
"4.0.38060000.31100000","3806.3110.4","1kmN3110E3806",4000,1000000,33,17,16
"4.0.38060000.31110000","3806.3111.4","1kmN3111E3806",4000,1000000,16,8,8
"4.0.38060000.31120000","3806.3112.4","1kmN3112E3806",4000,1000000,41,18,23
"4.0.38060000.31130000","3806.3113.4","1kmN3113E3806",4000,1000000,81,32,49
"4.0.38060000.31140000","3806.3114.4","1kmN3114E3806",4000,1000000,19,8,11
"4.0.38060000.31150000","3806.3115.4","1kmN3115E3806",4000,1000000,47,21,26
"4.0.38060000.31160000","3806.3116.4","1kmN3116E3806",4000,1000000,45,24,21
"4.0.38060000.31170000","3806.3117.4","1kmN3117E3806",4000,1000000,243,130,113
"4.0.38060000.31180000","3806.3118.4","1kmN3118E3806",4000,1000000,24,9,15
"4.0.38060000.31190000","3806.3119.4","1kmN3119E3806",4000,1000000,29,13,16
"4.0.38060000.31200000","3806.3120.4","1kmN3120E3806",4000,1000000,29,16,13
"4.0.38060000.31210000","3806.3121.4","1kmN3121E3806",4000,1000000,69,33,36
"4.0.38060000.31220000","3806.3122.4","1kmN3122E3806",4000,1000000,38,18,20
"4.0.38060000.31230000","3806.3123.4","1kmN3123E3806",4000,1000000,173,80,93
"4.0.38060000.31240000","3806.3124.4","1kmN3124E3806",4000,1000000,118,56,62
"4.0.38060000.31250000","3806.3125.4","1kmN3125E3806",4000,1000000,20,7,13
"4.0.38060000.31260000","3806.3126.4","1kmN3126E3806",4000,1000000,302,157,145
"4.0.38060000.31270000","3806.3127.4","1kmN3127E3806",4000,1000000,1,0,1
"4.0.38060000.31280000","3806.3128.4","1kmN3128E3806",4000,1000000,19,9,10
"4.0.38060000.31290000","3806.3129.4","1kmN3129E3806",4000,1000000,602,315,287
"4.0.38060000.31300000","3806.3130.4","1kmN3130E3806",4000,1000000,26,12,14
"4.0.38060000.31310000","3806.3131.4","1kmN3131E3806",4000,1000000,3,1,2
"4.0.38060000.31320000","3806.3132.4","1kmN3132E3806",4000,1000000,56,24,32
"4.0.38060000.31330000","3806.3133.4","1kmN3133E3806",4000,1000000,183,86,97
"4.0.38060000.31340000","3806.3134.4","1kmN3134E3806",4000,1000000,8,4,4
"4.0.38060000.31350000","3806.3135.4","1kmN3135E3806",4000,1000000,27,15,12
"4.0.38060000.31360000","3806.3136.4","1kmN3136E3806",4000,1000000,631,303,328
"4.0.38060000.31370000","3806.3137.4","1kmN3137E3806",4000,1000000,3043,1578,1465
"4.0.38060000.31380000","3806.3138.4","1kmN3138E3806","3741,51382659","880313,253944",1329,667,662
"4.0.38060000.31390000","3806.3139.4","1kmN3139E3806","1056,34494756","44107,9407731",0,0,0
"4.0.38070000.31030000","3807.3103.4","1kmN3103E3807","3691,40851802","850407,317684",38,19,19
"4.0.38070000.31040000","3807.3104.4","1kmN3104E3807",4000,1000000,24,10,14
"4.0.38070000.31050000","3807.3105.4","1kmN3105E3807",4000,1000000,11,5,6
"4.0.38070000.31060000","3807.3106.4","1kmN3106E3807",4000,1000000,38,17,21
"4.0.38070000.31070000","3807.3107.4","1kmN3107E3807",4000,1000000,39,21,18
"4.0.38070000.31080000","3807.3108.4","1kmN3108E3807",4000,1000000,38,19,19
"4.0.38070000.31090000","3807.3109.4","1kmN3109E3807",4000,1000000,26,13,13
